index,sex,mstatus,age,children,occupation,education,income,avbal,avtrans,decision
753.031722,M,married,38.080346,0,education,tertiary,3466.4679,19866.006021,219.142379,None
919.658725,F,single,22.677812,0,government,tertiary,8912.725257,26073.940139,3097.509174,B
287,M,divorced,42.84,0,manuf,tertiary,6321.12,19969.13,1572.46,None
632.309806,M,single,31.793823,0.151297,manuf,secondary,3569.596353,11693.398499,907.701845,None
653,M,single,47.58,0,IT,secondary,1935.72,15992.69,556.6,None
301.225494,M,married,45.590805,1.633048,manuf,secondary,1832.968202,4199.176358,1320.788656,A
585.058927,F,married,47.662741,1.541959,manuf,secondary,2608.661942,12459.037184,858.529689,A
564.961963,F,married,55.531943,2.216452,manuf,secondary,2558.527117,12637.852198,736.966077,A
251.809882,M,single,24.284391,0.416646,legal,tertiary,6634.721517,27173.908056,2906.04426,B
845,M,married,26.59,2,finance,tertiary,8602.03,17002.21,2037.79,None
600,M,married,49.01,1,education,secondary,756.7,6730.93,45.76,None
913.824076,F,single,21.974184,0,government,tertiary,8141.916695,26086.443859,2434.378749,B
398.778015,F,married,39.103999,2,IT,tertiary,5388.46729,28076.865735,1341.465855,A
29,F,single,44.43,0,medicine,tertiary,7058.44,41237.96,3912.06,None
830,F,single,28.25,0,education,tertiary,3884.28,33656.69,578.24,None
478,M,married,38.76,2,finance,professional,16070.13,49844.14,4705.1,None
116,M,married,39.62,0,manuf,tertiary,2463.54,1694.22,1500.08,None
88,M,single,40.44,0,finance,secondary,1996.56,19775.39,861.81,None
563.214474,F,single,27.590082,2.711086,legal,tertiary,7251.65132,19659.977241,2497.691208,B
291.109679,M,single,25.15235,0,legal,tertiary,10864.456317,47824.373128,2134.653912,B
826.001515,M,married,34.588706,2.225024,legal,postgrad,11873.415432,47438.429136,4941.913388,A
277.456878,M,single,24.52571,0.291401,legal,tertiary,10687.636215,32379.299161,2352.082072,B
994,M,divorced,41.86,1,manuf,tertiary,4555.28,39739.32,1969.29,None
85.588984,M,single,28.424048,0,manuf,postgrad,10025.884819,28236.726797,3154.774954,B
851.820356,M,married,57.161766,2.200604,manuf,secondary,2393.620812,7508.122986,1129.404304,A
513.492071,F,married,27.853043,0.630944,IT,tertiary,7266.748359,27364.872701,1666.09283,A
988,M,single,35.71,0,manuf,professional,10133.49,49954.49,3796.31,None
187.035207,F,married,34.112457,0.903556,IT,tertiary,6643.682643,27333.019761,1287.727575,A
230.55376,M,married,42.240239,2.645519,manuf,secondary,2049.50097,4309.756398,1146.976113,A
573,F,divorced,32.66,0,IT,postgrad,7297.42,46047.68,4702.1,None
349,M,married,39.63,0,finance,professional,12048.15,34593.71,7299.56,None
314.073872,F,married,38.002556,0.240983,manuf,secondary,2644.489374,16897.887233,1845.141227,A
519.497587,F,single,26.268463,0,government,tertiary,8793.895825,27166.630381,2655.998519,B
906,F,married,50.13,2,government,tertiary,2601.39,27161.11,1472.24,A
257.094089,F,married,57.360296,2.780318,government,tertiary,4835.165276,22027.557586,2169.372966,A
591,F,divorced,51.02,1,education,postgrad,4356.52,33630.3,913.01,None
775,M,widowed,59.97,1,education,tertiary,2621.31,20286.26,493.89,None
364.172995,F,married,60.175168,0.440663,manuf,secondary,2156.365815,11091.451118,976.048603,None
467.011757,F,married,36.859758,1.894059,IT,tertiary,7173.456512,28636.607675,1490.924897,A
623.061387,F,married,36.066831,1.80564,manuf,secondary,2586.033362,11939.137405,678.916286,A
346.126262,F,married,48.023558,1.538965,manuf,tertiary,5131.415924,34814.34179,3368.440589,A
587.547785,F,married,43.327861,1.086545,manuf,secondary,2626.822858,11988.363288,525.944751,A
610,M,married,66.64,0,retired,secondary,2282.95,9194.57,456.02,None
34,F,married,35.31,2,manuf,secondary,1584.06,16853.17,1028.19,None
211.08507,F,married,47.552763,1,manuf,tertiary,7435.615208,20811.640952,897.759367,A
505.459187,M,single,22.222276,0,manuf,tertiary,6264.117502,22969.617545,1205.256293,B
247,M,widowed,65.3,1,retired,postgrad,2767.03,10176.98,1795.02,None
691.132037,F,married,49.455442,0.325326,finance,secondary,2025.227391,19473.288767,1703.081867,None
