index,sex,mstatus,age,children,occupation,education,income,avbal,avtrans,decision
1,F,married,56.82,1,legal,secondary,3105.39,33003.48,1776.81,None
2,M,widowed,87.35,3,retired,tertiary,4874.08,18941.99,863.56,None
3,M,single,28.75,0,manuf,professional,14232.37,30013.32,3231.14,B
4,F,married,35.71,0,education,postgrad,3214.93,15423.24,1996.09,None
5,M,single,20.53,0,construct,tertiary,3214.93,15423.24,1996.09,None
6,F,married,60.39,0,manuf,secondary,2478.11,11436.23,463.68,None
7,F,married,23.07,2,legal,professional,19715.69,60259.76,5624.25,None
8,F,married,31.88,1,education,secondary,3356.69,7424.35,145.25,None
9,M,married,62.71,3,construct,tertiary,3356.69,7424.35,145.25,None
10,M,divorced,43.52,2,IT,secondary,673.86,10977.69,200.38,None
11,F,married,66.15,0,retired,tertiary,2350.12,15075,1687.73,None
12,M,married,26.41,1,education,tertiary,3983.86,13557.57,984.02,None
13,M,married,22.81,0,finance,postgrad,5167.35,19008.33,1141.05,None
14,M,divorced,47.2,3,finance,tertiary,5358.23,23972.95,1988.45,None
15,M,single,21.38,0,medicine,secondary,1790.78,20102.4,2204.08,None
16,F,married,40,1,manuf,tertiary,7167.15,15068.04,1748.94,None
17,F,single,34.09,0,construct,postgrad,7167.15,15068.04,1748.94,None
18,M,single,25.39,0,government,tertiary,4943.25,5899.82,1577.68,None
19,F,single,41.74,0,medicine,secondary,2869.25,15317.34,980.39,None
20,M,divorced,51.85,0,manuf,postgrad,10274.65,26727.86,2259.59,None
21,M,married,28.38,4,IT,tertiary,5657.13,17438.08,1994.03,A
22,F,married,25.74,0,finance,professional,13094.17,51277.41,3747.48,None
23,F,single,28.03,0,manuf,postgrad,9986.75,44775.16,2662.94,None
24,M,single,27.43,0,education,tertiary,4121.55,19983.49,1102.11,None
25,F,married,39.95,2,legal,tertiary,3302.41,24920.76,1165.51,A
26,F,divorced,30.81,3,finance,tertiary,8656.88,15072.42,2290.34,None
27,M,divorced,45.17,1,finance,postgrad,5378.92,21331.51,2838.42,None
28,M,married,39.13,2,finance,secondary,1262.29,21288.97,1963.87,None
29,F,single,44.43,0,medicine,tertiary,7058.44,41237.96,3912.06,None
30,F,single,23.84,0,manuf,secondary,3853.06,11865.44,712.75,None
31,M,widowed,70.83,1,retired,postgrad,2604.68,13671.58,1026.93,None
32,M,married,61.49,4,manuf,secondary,1376.26,12145.47,1235.43,A
33,M,single,20.91,0,medicine,postgrad,10622.85,25455.03,3927.36,None
