index, sex, mstatus, age, children, occupation, education, income, avbal, avtrans,
1001,1,4,44.27,2,6,1,10245.73,53183.04,4069.67, 
1002,1,2,61.9,1,6,3,1942.57,18100.78,1522.42,
1003,1,4,37.3,1,5,4,9896.16,24496.82,2723.35,
1004,2,4,25.02,1,6,1,10136.44,26690.01,4143.04,
1005,2,4,48.37,2,4,3,2521.11,13439.81,240.26,
1006,1,3,49.19,3,7,3,610.07,8027.86,817.78,
1007,2,2,66.07,2,9,4,3153.71,13146.35,1716.52,
1008,2,4,65.81,1,9,1,3656.7,6914.14,2149.3,
1009,2,2,44.65,2,5,4,5825.72,22830.97,1196.25,
1010,2,1,23.16,0,5,4,2737.99,13859.05,776.99,
1011,1,3,52.58,1,7,3,3257.43,20059.75,729.58,
1012,2,2,39.61,0,6,3,4836.8,19294.2,832.48,
1013,2,1,39.68,0,3,4,8361.3,20973.31,2059.34,
1014,1,1,29.73,0,3,4,3642.03,24124.66,1797.93,
1015,2,4,64.56,2,1,1,3642.03,24124.66,1797.93,
1016,1,2,56.16,2,7,4,3782.55,34553.75,1520.36,
1017,2,1,40.91,0,2,4,3431.36,13256.18,1246.05,
1018,2,2,39.11,1,6,1,12563.13,29157.55,5941.43,
1019,2,3,65.68,0,9,4,4388.41,14914.65,501.97,
1020,1,4,49.48,2,4,4,6364.9,14776.51,1717.65,
1021,2,2,67.08,2,9,3,910.38,13777.26,317.43,
1022,1,4,26.22,2,5,3,1858.62,24750.02,1137.89,
1023,2,1,19.46,0,7,1,4724.51,35985.78,1134.38,
1024,1,1,23.04,0,3,4,8302.74,22384.38,684.36,
1025,2,1,18.08,0,5,2,9217.58,43022.45,4855.55,
1026,1,4,46.6,0,3,4,3527.12,13777.86,1441.71,
1027,1,2,59.33,2,6,1,10497.62,44744.61,2768.2,
1028,1,1,21.74,0,4,4,4081.58,28519.68,858.28,
1029,2,3,62.36,2,4,1,2690.97,41035.5,2752.43,
1030,2,4,42.43,2,7,2,15965.52,29414.23,1625.25,
1031,1,2,45.44,1,4,4,3970.17,16069.47,526.99,
1032,2,2,27.21,1,2,3,1763.86,7318.26,440.05,
1033,2,4,60.44,1,7,4,3496.2,7700.52,1519.41,
1034,1,4,49.66,3,1,4,3496.2,7700.52,1519.41,
1035,2,1,22.06,0,4,4,6749.49,31665.16,1562.2,
