"","index","status","cust.Investment.Potential.Score","predictions"
"1",1001,"None",5.2,"None"
"2",1002,"None",2.5,"None"
"3",1003,"None",4.1,"None"
"4",1004,"None",4.4,"B"
"5",1005,"None",2.3,"None"
"6",1006,"None",2.2,"None"
"7",1007,"None",2.4,"None"
"8",1008,"None",2.4,"None"
"9",1009,"None",3.2,"A"
"10",1010,"None",2.7,"None"
"11",1011,"None",2.6,"None"
"12",1012,"None",3,"None"
"13",1013,"None",3.6,"None"
"14",1014,"None",3.6,"None"
"15",1015,"None",2.8,"None"
"16",1016,"A",3.2,"None"
"17",1017,"None",2.9,"None"
"18",1018,"None",5.3,"A"
"19",1019,"None",2.2,"None"
"20",1020,"None",3,"None"
"21",1021,"A",1.8,"None"
"22",1022,"None",3.2,"None"
"23",1023,"None",3.3,"None"
"24",1024,"None",3.1,"None"
"25",1025,"None",4.7,"None"
"26",1026,"None",2.8,"None"
"27",1027,"None",4.3,"None"
"28",1028,"B",3.1,"None"
"29",1029,"None",3.6,"None"
"30",1030,"None",4.1,"None"
"31",1031,"None",2.6,"None"
"32",1032,"None",2.5,"None"
"33",1033,"None",2.3,"None"
"34",1034,"None",2.6,"None"
"35",1035,"None",3.5,"None"
"36",1036,"None",2.7,"None"
"37",1037,"None",2.7,"None"
"38",1038,"None",2.8,"None"
"39",1039,"None",3.8,"None"
"40",1040,"None",2.3,"None"
"41",1041,"None",4.2,"None"
"42",1042,"A",3.8,"A"
"43",1043,"None",3.9,"None"
"44",1044,"None",3.4,"None"
"45",1045,"A",5.2,"A"
"46",1046,"None",4.9,"None"
"47",1047,"None",2.7,"None"
"48",1048,"None",4,"None"
"49",1049,"None",3.8,"None"
"50",1050,"None",2.8,"None"
"51",1051,"None",2.9,"None"
"52",1052,"None",3.1,"None"
"53",1053,"A",2.8,"None"
"54",1054,"None",4.5,"None"
"55",1055,"None",3.4,"None"
"56",1056,"None",2.3,"None"
"57",1057,"None",2.7,"None"
"58",1058,"None",3.2,"None"
"59",1059,"None",2.3,"None"
"60",1060,"None",3.1,"None"
"61",1061,"None",2.8,"None"
"62",1062,"A",4,"None"
"63",1063,"A",4.3,"A"
"64",1064,"None",4.9,"None"
"65",1065,"None",3.8,"B"
"66",1066,"A",3,"None"
"67",1067,"None",3.3,"None"
"68",1068,"None",3.6,"None"
"69",1069,"None",2.7,"None"
"70",1070,"None",3.6,"None"
"71",1071,"None",3.2,"None"
"72",1072,"None",2,"None"
"73",1073,"None",2.7,"None"
"74",1074,"None",3.3,"None"
"75",1075,"B",3,"None"
"76",1076,"None",3.1,"None"
