index,sex,mstatus,age,children,occupation,education,income,avbal,avtrans,decision
438.221357,M,single,20.553929,0,manuf,tertiary,4942.256011,23281.62228,1386.350339,B
350.082658,F,married,47.967267,1.947281,manuf,secondary,3504.893979,12787.736095,1935.571786,A
499,F,single,23.14,0,education,secondary,1793.76,16597.95,595.33,B
599.953401,F,married,39.794509,2,IT,tertiary,5898.071571,29902.924393,805.969385,A
536,F,single,27.66,0,finance,secondary,3496.41,25664.44,1258.45,B
631.378934,F,married,35.580458,0.867836,manuf,secondary,2667.276958,12038.347991,902.42213,A
523.634035,M,single,24.251947,0,manuf,tertiary,4474.996311,25831.075916,1694.606522,B
597.082788,F,married,36.981343,2.231186,government,secondary,2269.699935,12782.657231,606.907934,A
26,F,divorced,30.81,3,finance,tertiary,8656.88,15072.42,2290.34,None
849.942276,F,married,47.393995,1,finance,tertiary,8141.522779,20900.210792,1279.779327,A
388.298934,F,single,26.294057,0.386392,construct,tertiary,10643.540371,35556.456224,1702.374677,B
444,F,single,23.55,0,legal,secondary,3000.36,26802.91,929.53,None
592.077854,F,single,26.378497,0,manuf,tertiary,8805.726337,26075.977645,2558.225972,B
532.047472,M,married,39.52,2,manuf,secondary,3104.022382,15564.571371,273.694951,A
180.150991,F,married,59.926315,2.431145,construct,postgrad,8332.222329,14120.670667,1722.473377,A
254.91055,M,single,22.108689,0,manuf,tertiary,4725.899054,26319.702781,1869.191644,B
551,F,single,47.58,0,government,tertiary,2772.29,37824.75,1302.39,None
360,F,divorced,37.96,2,government,tertiary,7573.87,7463.45,582.86,None
738.2019,M,married,36.434624,1.175268,manuf,secondary,3884.28093,8973.355416,681.655206,A
51,M,married,29.83,2,construct,professional,8917.89,11595.8,1444.51,None
833,F,single,32.82,0,medicine,tertiary,8737.79,29421.79,1404.45,None
889.292317,F,single,22.789052,0,education,secondary,3830.650209,17295.402515,618.285293,B
869,F,divorced,33.72,1,finance,tertiary,5225.92,33494.77,1759.23,None
15,M,single,21.38,0,medicine,secondary,1790.78,20102.4,2204.08,None
441,M,single,21.53,0,IT,tertiary,9941.92,18677.31,2009.22,None
877.155674,F,single,22.872465,0,education,secondary,3690.31938,17316.047132,489.424145,B
659.821478,F,single,25.873918,0.437919,construct,tertiary,10925.235061,37039.822612,1676.876528,B
472.158395,F,single,25.055211,1.269386,government,tertiary,7015.022056,21513.752902,2308.649276,B
464.050299,F,single,28.029675,0.445898,construct,tertiary,10679.462757,35415.104708,1781.050534,B
694.371985,F,single,27.714991,0,medicine,tertiary,7883.004019,27636.707204,2716.709211,B
144,M,married,38.09,1,finance,postgrad,10279.43,14525.43,3731.24,None
685.850286,F,single,25.764786,0,legal,tertiary,9206.754053,25886.454696,3446.348463,B
976,M,married,20.06,2,IT,postgrad,14649.94,41026.37,1215.07,A
526.573111,M,married,55.341403,0.084637,manuf,secondary,2683.498715,8125.323332,1163.781319,A
566.300952,M,married,39.427673,2.702701,construct,secondary,2148.386004,16128.95673,500.823072,A
676.293718,M,married,48.466808,2,retired,secondary,1688.769961,7885.874383,1652.595127,A
176.323508,F,single,28.474901,0.44892,legal,tertiary,6179.273301,28691.51204,3591.308744,B
613,M,married,63.06,2,manuf,secondary,3620.18,12329.6,820.9,A
127.898744,M,single,26.417348,0.257076,medicine,tertiary,10864.2454,33366.345182,1833.976108,B
854.522919,F,married,36.32298,1.295213,construct,secondary,9121.839006,16754.477825,2048.66033,A
922,M,married,54.98,1,manuf,tertiary,4470.57,5062.34,1732.38,None
570.085632,F,married,27.847819,1.577007,medicine,professional,9909.393322,61518.722771,4042.759881,A
852,F,married,31.73,2,legal,professional,6936.42,74441.97,4713.93,A
914,F,divorced,69.84,1,retired,secondary,465.49,10452.61,841.13,None
610.521774,F,married,42.495289,2.623583,manuf,tertiary,1705.664089,3257.477472,1404.43083,A
897,F,married,46.89,2,finance,secondary,2753.35,17511,1263.74,None
936,F,widowed,74.04,3,retired,postgrad,3503.07,26654.02,1158.92,None
487.432629,F,single,25.351997,1.861454,government,tertiary,7011.054604,21434.824437,2459.168745,B
146,F,married,58.98,2,manuf,tertiary,3507.01,12834.27,1958.05,A
273,F,divorced,44.97,3,finance,tertiary,6695,20729.48,2259.65,None
263,M,single,24.62,0,manuf,secondary,2333.57,9458.71,295.89,None
360.89552,M,single,28.242233,0,IT,tertiary,7363.759855,13241.254205,1736.270741,B
498,M,divorced,59.35,1,manuf,tertiary,7478.17,4814.42,2436.66,None
240.628389,F,married,32.535447,2,manuf,secondary,2726.794685,19462.396216,1047.032399,A
53,F,single,23.23,0,medicine,tertiary,8664.08,22064.65,2269.68,B
321,F,married,23.88,1,legal,professional,12039.95,51404.59,3137.56,None
818,F,divorced,53.72,2,IT,tertiary,6183.15,25756.82,730.38,None
418,M,married,25.31,2,IT,secondary,2015.87,14953.83,1199.88,None
