index,sex,mstatus,age,children,occupation,education,income,avbal,avtrans,decision
481.278904,F,married,45.716809,1.575978,finance,secondary,763.42261,16109.320759,508.690109,A
921,F,single,35.58,0,finance,tertiary,6222.71,16219.16,2331.09,None
176.551269,F,married,55.244062,2.031367,construct,postgrad,8352.839687,14113.687575,1647.114894,A
503.329256,M,married,36.666833,1.23131,manuf,secondary,2846.065073,10365.838342,1007.387289,A
790,F,divorced,70.67,1,retired,tertiary,3320.92,14239.21,984.07,None
449,F,married,56.83,1,finance,secondary,2371.89,21955.26,1614.6,None
835.069766,M,single,24.530487,0,medicine,tertiary,11331.347117,29590.102655,2224.389653,B
496,M,married,45.42,4,construct,professional,1926.55,15713.06,875.48,A
626,M,married,35.05,2,finance,tertiary,5295.53,22866.75,2174.63,A
104,M,married,56.94,1,government,tertiary,4978.89,18633.57,1335.63,None
335.857948,F,married,40.094025,1.961182,manuf,tertiary,5804.391833,34941.326363,1377.327131,A
217.834599,F,married,38.181725,1.700855,finance,postgrad,11022.527318,33783.585149,4335.791129,A
678,F,single,29.99,0,legal,secondary,1120.04,24809.72,1848.08,None
316.565659,F,married,33.617405,0.102955,construct,postgrad,8370.736404,14012.455819,2648.688937,A
170.848838,F,married,41.401699,1.016364,IT,tertiary,5786.448402,27138.371689,724.28367,A
287.136258,F,married,40.065152,1.000944,manuf,secondary,2468.998254,19668.469776,1381.03086,A
272.328778,F,single,25.270838,0,legal,tertiary,12644.326173,17623.125872,3380.787862,B
532.253662,F,single,23.799169,1.253678,legal,tertiary,7015.772602,20841.696677,2371.889039,B
508,F,single,28.17,0,education,tertiary,4007.31,15915.4,1159.84,None
393.068319,F,married,37.288017,1.50466,finance,secondary,845.653655,15700.433031,832.127053,A
472.578232,M,single,27.714234,0,IT,tertiary,6756.369101,11676.054778,2004.737481,B
196.018963,F,married,43.420384,0.527555,construct,postgrad,8324.549488,14023.662537,2640.417371,A
677.782091,F,married,59.039712,1.216289,manuf,tertiary,3698.126214,34533.451265,1225.111018,A
91,M,divorced,45.45,2,finance,tertiary,9046.3,29269.81,3420.82,None
675,F,divorced,59.44,1,legal,postgrad,8477.8,45466.29,5885.52,None
11,F,married,66.15,0,retired,tertiary,2350.12,15075,1687.73,None
883,F,married,53.99,3,IT,secondary,1094.51,20597.15,956.35,None
