"","sex","mstatus","age","children","occupation","education","income","avbal","avtrans","decision"
"1",2,3,21,0,7,4,4942.256011,23281.62228,1386.350339,2
"2",1,2,48,2,7,3,3504.893979,12787.736095,1935.571786,1
"3",1,3,23,0,2,3,1793.76,16597.95,595.33,2
"4",1,2,40,2,5,4,5898.071571,29902.924393,805.969385,1
"5",1,3,28,0,3,3,3496.41,25664.44,1258.45,2
"6",1,2,36,1,7,3,2667.276958,12038.347991,902.42213,1
"7",2,3,24,0,7,4,4474.996311,25831.075916,1694.606522,2
"8",1,2,37,2,4,3,2269.699935,12782.657231,606.907934,1
"9",1,1,31,3,3,4,8656.88,15072.42,2290.34,3
"10",1,2,47,1,3,4,8141.522779,20900.210792,1279.779327,1
"11",1,3,26,0,1,4,10643.540371,35556.456224,1702.374677,2
"12",1,3,24,0,6,3,3000.36,26802.91,929.53,3
"13",1,3,26,0,7,4,8805.726337,26075.977645,2558.225972,2
"14",2,2,40,2,7,3,3104.022382,15564.571371,273.694951,1
"15",1,2,60,2,1,1,8332.222329,14120.670667,1722.473377,1
"16",2,3,22,0,7,4,4725.899054,26319.702781,1869.191644,2
"17",1,3,48,0,4,4,2772.29,37824.75,1302.39,3
"18",1,1,38,2,4,4,7573.87,7463.45,582.86,3
"19",2,2,36,1,7,3,3884.28093,8973.355416,681.655206,1
"20",2,2,30,2,1,2,8917.89,11595.8,1444.51,3
"21",1,3,33,0,8,4,8737.79,29421.79,1404.45,3
"22",1,3,23,0,2,3,3830.650209,17295.402515,618.285293,2
"23",1,1,34,1,3,4,5225.92,33494.77,1759.23,3
"24",2,3,21,0,8,3,1790.78,20102.4,2204.08,3
"25",2,3,22,0,5,4,9941.92,18677.31,2009.22,3
"26",1,3,23,0,2,3,3690.31938,17316.047132,489.424145,2
"27",1,3,26,0,1,4,10925.235061,37039.822612,1676.876528,2
"28",1,3,25,1,4,4,7015.022056,21513.752902,2308.649276,2
"29",1,3,28,0,1,4,10679.462757,35415.104708,1781.050534,2
"30",1,3,28,0,8,4,7883.004019,27636.707204,2716.709211,2
"31",2,2,38,1,3,1,10279.43,14525.43,3731.24,3
"32",1,3,26,0,6,4,9206.754053,25886.454696,3446.348463,2
"33",2,2,20,2,5,1,14649.94,41026.37,1215.07,1
"34",2,2,55,0,7,3,2683.498715,8125.323332,1163.781319,1
"35",2,2,39,3,1,3,2148.386004,16128.95673,500.823072,1
"36",2,2,48,2,9,3,1688.769961,7885.874383,1652.595127,1
"37",1,3,28,0,6,4,6179.273301,28691.51204,3591.308744,2
"38",2,2,63,2,7,3,3620.18,12329.6,820.9,1
"39",2,3,26,0,8,4,10864.2454,33366.345182,1833.976108,2
"40",1,2,36,1,1,3,9121.839006,16754.477825,2048.66033,1
"41",2,2,55,1,7,4,4470.57,5062.34,1732.38,3
"42",1,2,28,2,8,2,9909.393322,61518.722771,4042.759881,1
"43",1,2,32,2,6,2,6936.42,74441.97,4713.93,1
"44",1,1,70,1,9,3,465.49,10452.61,841.13,3
"45",1,2,42,3,7,4,1705.664089,3257.477472,1404.43083,1
"46",1,2,47,2,3,3,2753.35,17511,1263.74,3
"47",1,4,74,3,9,1,3503.07,26654.02,1158.92,3
"48",1,3,25,2,4,4,7011.054604,21434.824437,2459.168745,2
"49",1,2,59,2,7,4,3507.01,12834.27,1958.05,1
"50",1,1,45,3,3,4,6695,20729.48,2259.65,3
"51",2,3,25,0,7,3,2333.57,9458.71,295.89,3
"52",2,3,28,0,5,4,7363.759855,13241.254205,1736.270741,2
"53",2,1,59,1,7,4,7478.17,4814.42,2436.66,3
"54",1,2,33,2,7,3,2726.794685,19462.396216,1047.032399,1
"55",1,3,23,0,8,4,8664.08,22064.65,2269.68,2
"56",1,2,24,1,6,2,12039.95,51404.59,3137.56,3
"57",1,1,54,2,5,4,6183.15,25756.82,730.38,3
"58",2,2,25,2,5,3,2015.87,14953.83,1199.88,3
"59",2,3,22,2,4,3,5304.285491,20006.965282,1133.846259,2
"60",1,2,41,2,7,4,1833.409211,3538.394115,1172.208518,1
"61",2,2,44,2,7,3,3290.556654,10410.265954,956.867575,1
"62",1,3,25,0,2,3,3843.703904,16610.408795,420.873901,2
"63",1,2,60,2,5,3,1738.57,16035.35,1301.17,3
"64",1,2,34,1,6,4,8891.85,42118.33,2018.23,1
"65",1,2,59,3,4,4,4861.719965,22016.707601,2085.061705,1
"66",1,2,44,2,6,3,3165.79,8494.17,1903.63,3
"67",1,3,26,0,6,4,8869.156257,25840.59577,4408.84851,2
"68",1,3,22,0,5,3,2881.729072,10069.770135,819.831362,2
"69",1,2,38,1,6,1,9973.827051,46361.235895,4658.514709,1
"70",1,3,24,0,6,4,6754.322221,26249.376383,2663.040821,2
"71",1,2,45,2,5,4,10371.913673,30243.224592,4015.422342,1
"72",2,3,41,0,2,4,3907.75,19774.9,1484.8,3
"73",2,3,19,0,7,4,2863.63,19999.31,1954.86,3
"74",1,3,21,0,5,3,2948.88,12580.51,721.98,3
"75",2,3,36,0,7,2,10133.49,49954.49,3796.31,3
"76",1,3,25,2,6,4,9315.727482,19164.738748,2602.866044,2
"77",1,1,50,1,7,3,591.14,11233.95,1043.65,3
"78",1,1,26,4,5,1,7491.84,32860.11,3965.97,3
"79",1,3,24,2,4,4,6838.207839,21822.516316,2684.655156,2
"80",1,3,24,0,6,4,6800.495839,26534.804621,2646.292746,2
"81",2,2,37,0,4,3,2612.11,20001.14,570.54,3
"82",1,4,77,1,9,4,4851.14,23010.71,1765.31,3
"83",2,1,52,0,7,1,10274.65,26727.86,2259.59,3
"84",2,2,35,2,4,4,5274.902228,22832.343497,1914.591997,1
"85",2,3,30,1,8,4,10239.991573,32540.465501,1814.681823,2
"86",1,2,51,1,6,4,3933.992667,25115.849671,1674.014004,1
"87",2,1,44,2,5,3,673.86,10977.69,200.38,3
"88",2,3,23,0,8,4,10365.162911,28338.837394,1402.027301,2
"89",1,2,50,2,7,3,3209.149111,12526.781468,817.146022,1
"90",2,2,39,2,3,2,16070.13,49844.14,4705.1,3
"91",1,2,47,2,7,3,3504.412751,12662.387736,1911.376199,1
"92",1,2,48,1,5,4,4818.290245,10377.307906,2726.011665,1
"93",1,2,46,2,7,4,6106.360961,36234.677778,2685.594536,1
"94",2,3,26,0,7,4,4587.62506,25033.457951,2342.743964,2
"95",2,1,33,3,5,3,1045.43,22064.53,1101.11,3
"96",1,2,58,1,5,4,2510.42,23947.57,1990.3,1
"97",1,3,22,0,6,4,6175.545136,26371.682017,2235.463262,2
"98",2,1,57,2,1,3,3496.41,25664.44,1258.45,3
"99",1,3,27,0,2,3,3832.930474,16519.697131,652.328676,2
"100",1,1,50,2,1,4,2509.43,21737.39,1027.04,3
"101",1,2,60,0,4,4,4266.456114,21938.132529,1298.689812,1
"102",2,3,27,0,7,4,5000.87,25165.38,2360.42,2
"103",2,2,59,0,1,3,2605.72,8699.05,530.08,1
"104",1,3,26,0,6,4,5346.770324,29731.422575,2331.986647,2
"105",1,3,22,0,6,4,5991.147029,26153.746979,2175.461664,2
"106",2,2,48,0,7,4,5471.97,814.95,2038.46,3
"107",1,2,44,1,6,4,10205.897719,29420.076822,1585.888221,1
"108",1,3,29,1,1,4,10990.269961,35544.008336,1900.605633,2
"109",1,2,45,2,7,3,3157.610593,12457.345985,1629.829701,1
"110",1,3,26,0,7,4,9014.576623,26084.012703,2548.156597,2
"111",1,3,26,0,2,3,3283.153064,17519.087767,2692.723647,2
"112",1,3,26,0,1,4,10281.984286,46342.290834,3192.861491,2
"113",2,3,28,0,2,3,2661.86,5622.38,532.2,3
"114",1,3,21,0,5,3,2056.035295,10033.900467,992.273538,2
"115",1,2,29,2,4,3,1890.676169,21052.188349,1102.651855,1
"116",2,2,36,3,6,1,9798.818176,50114.925756,3724.375222,1
"117",1,3,24,1,4,4,6964.965707,21717.542395,2360.7873,2
"118",1,3,27,0,2,3,2558.806188,16576.845438,527.646948,2
"119",1,3,25,0,2,3,4297.331168,17294.944029,555.087797,2
"120",1,2,48,1,5,4,4541.792702,11015.252763,1982.1083,1
"121",1,2,42,1,3,4,5721.88,26370.11,642.18,1
"122",2,3,42,0,3,4,7914.49,24004.22,1451.04,3
"123",1,2,39,1,6,3,987.21,12483.21,1416.69,1
"124",2,2,63,3,1,4,3356.69,7424.35,145.25,3
"125",2,3,42,0,2,4,4017.73,19989.3,947.94,3
"126",1,3,23,0,6,4,9989.025781,17551.942518,2580.744129,2
"127",1,1,47,4,2,1,3900.43,15212.5,883,3
"128",1,3,34,0,5,4,3995.66,16378.48,2116.76,3
"129",1,3,22,0,4,4,6860.072997,21992.018872,2474.794987,2
"130",1,2,42,2,3,3,753.274526,15709.5547,857.099149,1
"131",2,3,26,0,7,4,4618.728229,25226.621399,2339.453619,2
"132",1,1,58,0,4,3,2500.88,5691.44,1278.66,3
"133",1,1,65,1,9,1,3328.51,10105.98,1445.43,3
"134",1,2,34,2,1,3,1307.164222,15971.852527,1209.060943,1
"135",2,4,74,2,9,1,5635.27,29054.95,1202.14,3
"136",1,2,41,0,3,1,8250.71,29394.42,2933.97,3
"137",2,2,32,2,7,3,2400.931756,19509.564525,1155.515274,1
"138",1,3,28,1,1,4,10704.761032,46688.087327,2345.873558,2
"139",1,1,56,1,4,3,3241.13,11092.16,799.95,3
"140",1,3,23,0,2,3,1900.355593,16605.692636,577.479147,2
"141",2,1,45,3,3,4,8859.35,15480.89,1845.23,3
"142",1,2,37,1,7,3,988.949039,12276.041509,1159.276298,1
"143",1,3,26,0,6,4,9228.552686,25937.843665,3950.737813,2
"144",1,2,48,2,7,4,5584.26,20010.4,1482.22,3
"145",1,2,40,1,5,3,3286.1,18494.87,1221.27,3
"146",1,3,28,3,6,4,7709.224431,19247.863664,2484.848515,2
"147",1,3,27,0,1,4,8856.261163,45450.990437,3472.791472,2
"148",2,2,53,2,5,4,2247.32,15230.28,934.93,3
"149",1,2,51,2,7,1,2692.48,20954.73,2516.79,3
"150",1,1,45,0,3,2,12715.7,17442.26,4972.58,3
"151",1,3,27,0,6,4,6169.871359,28286.247711,3070.753066,2
"152",1,2,38,3,6,2,7642.11,78385.03,6008.57,3
"153",2,3,22,0,7,4,4614.15502,26224.197373,1820.512788,2
"154",2,1,66,3,9,4,2219.78,20866.69,1398.47,3
"155",1,3,25,0,6,4,6743.148207,26691.523645,2603.359768,2
"156",2,3,25,0,8,4,10567.411112,28930.016355,2293.949987,2
"157",1,1,43,2,3,1,8979.81,17330.58,2291.6,3
"158",1,2,39,2,6,4,10396.049291,30242.356896,4020.202977,1
"159",2,3,23,0,7,4,3482.282677,24515.178073,2036.537588,2
"160",1,3,23,0,6,4,9683.159157,18879.113871,2621.124939,2
"161",1,2,59,1,1,1,7590.759978,41880.018831,2829.649382,1
"162",1,3,26,0,7,4,8985.173619,26047.047531,2548.250564,2
"163",1,2,47,2,6,4,2603.895807,27659.478764,1459.647603,1
"164",1,3,45,0,4,1,6684.38,27636.88,3950.75,3
"165",1,2,42,1,6,4,4001.520647,24821.588655,2501.939368,1
"166",2,2,32,2,6,1,14018.913865,40777.603676,2529.230799,1
"167",2,2,51,0,9,3,2110.376498,9953.098853,796.588924,1
